cal_year,engine_cc,vehicle_value,age,ncd_level,gross_amount
2023,638,16699,60,1,6407.830267
2024,638,16699,61,0,5320.816137
2019,600,11807,71,3,6488.542989
2021,600,11807,73,2,11450.81263
2024,600,11807,76,3,848.7517756
2019,712,23446,47,0,7789.864413
2019,712,23446,47,0,7609.19434
2023,712,23446,51,3,4230.724287
2020,600,10740,51,2,5556.363681
2020,1227,33144,43,0,9974.72169
2022,600,15935,43,1,9441.462551
2018,1859,48803,33,1,9653.298329
2024,1032,21073,47,5,18740.10624
2021,600,6916,30,3,6374.865045
2019,600,14210,28,1,2427.136984
2019,600,14210,28,1,4872.500435
2022,600,14210,31,2,3494.456622
2024,600,16605,42,1,19296.1584
2023,1632,41169,46,5,812.3321164
2018,600,14688,42,2,20641.25864
2023,600,11486,35,4,1108.673787
2020,600,11801,36,0,10831.51136
2020,600,11801,36,0,15875.93892
2024,600,12180,26,0,15786.93439
2020,1438,42284,40,3,14914.18765
2021,847,27416,30,4,6409.433239
2022,847,27416,31,2,8518.638855
2024,847,27416,33,2,12305.01779
2024,847,27416,33,2,6389.249414
2024,847,27416,33,2,1033.040648
2021,1778,40587,51,4,9512.532858
2022,1778,40587,52,2,2593.492605
2017,600,13078,20,1,13832.88525
2020,600,13078,23,2,3856.423966
2023,1436,32021,33,4,13747.78722
2023,1436,32021,33,4,12865.45561
2021,917,20219,46,5,23424.32251
2022,917,20219,47,3,2476.123919
2020,955,25196,39,1,3475.037454
2016,600,9012,44,2,2377.350064
2023,600,14060,25,1,960.8330966
2023,600,14060,25,1,15578.07703
2023,600,14060,25,1,17939.4304
2018,1790,46787,42,3,18435.92986
2019,1790,46787,43,1,7048.50731
2019,1790,46787,43,1,6010.470444
2021,1593,42197,42,4,27801.95878
2021,1593,42197,42,4,6368.334305
2019,2007,49564,54,4,10247.3402
2019,2007,49564,54,4,8280.831819
2021,600,14403,37,5,10017.30296
2023,602,19281,54,5,45030.35718
2020,600,6782,50,4,120.0062976
2023,600,6782,53,4,10768.83575
2018,788,21153,36,3,13825.21293
2019,788,21153,37,1,4033.549725
2020,891,28397,28,4,25479.00951
2020,891,28397,28,4,18579.28942
2016,612,12542,38,1,6730.770327
2018,666,14066,22,1,10733.34359
2019,666,14066,23,0,2513.685
2019,666,14066,23,0,5104.296842
2024,1876,46562,57,4,34969.79919
2019,1962,48115,35,1,15645.8614
2021,1962,48115,37,1,15215.23337
2022,1962,48115,38,0,7129.791358
2024,600,12385,55,5,6885.098118
2021,945,29545,51,2,17609.76813
2021,945,29545,51,2,3929.452011
2022,600,12956,38,2,8185.079668
2022,686,19900,45,1,1701.394743
2020,759,15992,33,2,7150.746248
2023,759,15992,36,2,3215.187274
2023,759,15992,36,2,35657.0728
2024,759,15992,37,0,19749.93468
2018,600,10771,23,0,6418.302761
2018,600,10771,23,0,36268.98385
2019,600,10771,24,0,3067.413352
2019,600,10771,24,0,8261.92103
2019,600,10771,24,0,13461.44467
2020,600,10771,25,0,37810.85118
2022,2411,60700,43,2,18537.31483
2022,2411,60700,43,2,19738.46624
2023,600,14809,45,0,17514.05399
2024,2111,49241,58,1,1235.838918
2024,2111,49241,58,1,19667.73042
2017,830,27237,28,1,5249.990642
2020,830,27237,31,2,16913.9423
2021,600,9091,55,4,28333.27112
2022,600,9091,56,2,10761.68199
2022,600,9091,56,2,7573.952487
2018,600,15149,25,2,4338.932599
2019,600,15149,26,0,34205.81422
2020,600,15149,27,0,5084.333454
2017,600,14224,32,1,26118.60739
2017,600,14224,32,1,2672.68655
2019,600,11524,50,1,24158.29786
2023,600,11524,54,3,1772.844684
2022,1550,38740,43,2,3127.214022
2022,1550,38740,43,2,18121.79555
2022,1550,38740,43,2,50086.71444
2019,600,10211,36,2,4824.993058
2019,1119,35423,34,3,6179.62369
2023,600,13078,50,2,12520.39803
2020,600,13540,49,3,1204.140189
2024,600,15209,48,5,3477.964864
2024,1084,33168,59,2,14469.43446
2021,632,13326,41,1,4379.201828
2023,632,13326,43,1,5749.383425
2024,632,13326,44,0,8710.83645
2024,600,13474,46,5,11614.17288
2024,754,19999,38,3,23126.98248
2023,2261,51580,57,2,21602.09612
2021,1958,46228,37,1,7592.694709
2021,600,15499,83,3,12362.86072
2022,600,15499,84,1,16519.36128
2022,600,15499,84,1,6685.97374
2023,600,8845,59,5,8168.774934
2023,600,13528,50,1,25267.08416
2020,600,10118,59,4,3273.217216
2023,600,14418,32,2,7436.951013
2024,600,14418,33,0,13511.40435
2024,600,14418,33,0,6436.820792
2020,658,15134,36,2,5070.988815
2023,1533,36017,43,1,10053.54956
2024,1533,36017,44,0,50584.85686
2019,600,14230,39,2,13417.2515
2019,600,14230,39,2,16434.18284
2021,600,14230,41,1,8630.686409
2022,600,14230,42,0,6864.083034
2022,600,12504,45,5,27002.17102
2022,600,12504,45,5,1015.872568
2024,600,12504,47,4,15059.16991
2019,1414,39039,47,2,8563.229749
2024,643,14543,30,5,5192.873062
2019,600,13250,54,1,2874.306573
2021,600,11454,72,4,4200.673633
2021,821,20397,25,1,6760.376373
2023,600,9597,30,3,18667.55758
2019,1746,48529,55,2,29004.11682
2024,600,15039,39,2,9694.418171
2019,2403,55920,45,1,7533.930767
2020,2403,55920,46,0,22036.55479
2024,1040,35680,53,2,3471.553106
2024,600,15046,26,3,7743.236795
2018,928,31570,51,2,7454.131529
2020,928,31570,53,0,10138.08431
2023,3909,65000,76,3,16151.98291
2023,3909,65000,76,3,17355.25385
2024,771,14651,31,2,15576.52619
2018,600,15014,32,2,5237.337368
2018,1639,44636,43,1,11193.58944
2020,755,23014,33,2,9133.069588
2024,1482,38440,41,1,8858.380314
2019,600,10468,48,4,7695.298666
2021,600,10468,50,3,9351.55071
2017,2017,47199,43,2,12002.54561
2024,2017,47199,50,5,9077.864807
2024,2017,47199,50,5,18305.56169
2021,627,10782,49,2,18576.20021
2023,627,10782,51,1,9357.129935
2024,627,10782,52,0,2965.532931
2024,1093,29111,47,1,17247.34214
2022,600,18051,40,4,11309.90425
2022,600,18051,40,4,32286.9231
2024,4970,90000,52,1,5591.33749
2023,600,12189,34,2,23850.98217
2020,945,20916,31,1,21316.8789
2024,945,20916,35,3,1375.482732
2023,621,10649,42,2,35751.27211
2023,621,10649,42,2,5815.738845
2019,866,23895,47,2,12550.16209
2021,866,23895,49,1,8944.173998
2022,866,23895,50,0,9800.338478
2022,866,23895,50,0,22876.89275
2022,600,15256,51,5,4145.778811
2022,600,15256,51,5,3724.389257
2023,600,14704,48,4,4087.404874
2024,600,14704,49,3,12189.26526
2016,2129,49757,44,2,3164.384475
2020,2129,49757,48,3,10173.83992
2023,1345,33058,51,2,10521.41142
2022,600,16830,66,1,6833.615072
2024,600,14254,41,3,9459.44285
2020,743,13660,50,4,10812.39352
2023,739,13055,62,4,19366.33524
2023,739,13055,62,4,28933.04971
2018,960,23583,39,2,11601.73206
2018,960,23583,39,2,6612.358125
2020,1893,45453,47,5,3114.889798
2024,1893,45453,51,5,37896.59605
2016,600,10657,31,0,3096.475033
2022,600,15116,51,2,8337.748176
2024,600,15116,53,2,11359.02486
2023,600,20691,43,0,17302.55746
2017,600,13295,24,1,3978.756214
2018,600,13295,25,0,3287.662945
2019,600,13295,26,0,6262.791481
2019,600,13295,26,0,7757.06792
2019,600,13295,26,0,6753.726122
2020,600,13295,27,0,23534.27033
2023,600,14352,33,1,7054.33728
2020,2004,41930,32,5,7867.756583
2022,600,11412,31,1,5051.392665
2023,600,11412,32,0,9563.044485
2020,665,21206,47,5,2635.26427
2021,665,21206,48,3,7117.677884
2024,3154,65000,38,2,18217.6361
2024,1104,29153,38,1,2676.923321
2024,600,14166,45,1,6409.398402
2019,921,24656,45,1,15478.97909
2019,921,24656,45,1,5883.8983
2022,921,24656,48,2,16836.62995
2018,600,14162,31,0,4857.648059
2019,600,14162,32,0,7469.483757
2020,600,14162,33,0,1732.005135
2021,600,14162,34,0,2651.801691
2019,607,12037,37,0,31363.15984
2020,607,12037,38,0,9374.574722
2021,607,12037,39,0,31622.94805
2023,607,12037,41,1,12734.54978
2021,600,14760,50,2,6693.015973
2023,600,14760,52,1,26425.51193
2022,600,12228,40,4,2904.544786
2024,1382,37873,37,2,10722.90212
2024,1382,37873,37,2,12775.53542
2022,600,10173,48,0,4974.524039
2016,600,9198,29,0,5037.860194
2016,600,9198,29,0,17391.58929
2020,600,14244,50,5,1716.357735
2023,600,12206,48,3,24513.98856
2023,600,12206,48,3,5679.862211
2021,600,17151,31,5,4281.802004
2023,600,17151,33,4,8885.860849
2023,765,17183,45,1,17206.94823
2020,600,15797,72,2,13891.13463
2024,600,15797,76,3,5680.014568
2024,600,15797,76,3,9568.063233
2017,600,14419,53,2,38381.12051
2018,773,23939,42,2,31000.95988
2019,773,23939,43,0,10704.48966
2024,600,6702,46,2,3856.154384
2018,800,22429,45,3,20490.25632
2016,600,7394,42,1,4134.98723
2019,600,7394,45,1,3168.991592
2016,1541,48265,20,0,18033.18626
2016,1541,48265,20,0,13972.48632
2021,600,12476,66,2,24319.64085
2022,726,18115,52,5,9863.532078
2023,726,18115,53,3,2110.893757
2016,600,14979,33,0,12402.76947
2019,600,14979,36,2,963.2820787
2024,600,18480,59,4,8995.726388
2024,600,18480,59,4,7250.508146
2023,600,14390,41,0,16503.68123
2017,600,10959,28,2,15232.79127
2018,600,10959,29,0,1636.344027
2018,600,10959,29,0,5867.00856
2019,600,10959,30,0,25504.43868
2019,600,10959,30,0,31141.27559
2021,600,16419,60,2,40840.06212
2020,6000,133246,39,1,3711.719429
2022,849,27815,65,2,11687.73713
2024,849,27815,67,1,34643.94034
2017,963,22485,20,1,2191.856557
2017,963,22485,20,1,5521.867769
2018,963,22485,21,0,8007.541351
2018,600,18199,46,0,28284.18276
2019,600,18199,47,0,10002.7071
2019,600,18199,47,0,8513.82146
2022,916,20579,37,1,10829.64545
2022,600,11564,50,3,30453.86884
2021,1141,29518,60,3,3007.732474
2023,1141,29518,62,2,4452.692584
2018,600,10157,59,4,25963.15635
2020,600,10157,61,3,13668.52405
2023,600,10157,64,3,4085.836011
2024,753,20019,83,5,2496.748834
2018,600,13524,33,3,21013.14899
2023,600,14785,61,1,29478.24754
2017,600,11862,29,1,12985.68143
2018,600,11862,30,0,5500.499544
2022,648,14655,62,3,13708.08563
2023,708,19818,58,1,21317.55005
2018,1525,33389,67,1,6464.7097
2022,1525,33389,71,3,32772.79612
2023,728,24295,49,5,8701.190355
2021,1005,26098,56,1,4403.604811
2023,1005,26098,58,1,11410.29825
2016,948,23568,20,1,17867.77001
2020,753,21452,41,2,38641.26803
2022,600,7205,46,2,1880.047737
2024,600,7205,48,1,5361.829624
2019,600,8499,57,2,9084.910618
2019,600,8499,57,2,10206.7512
2020,600,10966,41,2,13285.7448
2022,600,10966,43,1,6558.553496
2024,600,10966,45,1,13162.61405
2024,600,14964,43,1,3441.047519
2017,600,12677,24,1,5823.635588
2018,600,12677,25,0,14938.53995
2022,600,16270,50,5,8720.495902
2022,600,18761,55,5,7307.807841
2018,1922,53940,27,1,13500.55052
2018,1922,53940,27,1,45700.76021
2018,1922,53940,27,1,24923.56688
2019,1922,53940,28,0,18863.7689
2023,906,23594,26,3,19208.11722
2018,600,15038,52,0,8705.098663
2020,600,9800,40,2,13553.16252
2020,600,10810,28,1,990.7454096
2020,600,10810,28,1,25225.90224
2020,600,10810,28,1,6988.009148
2024,665,18035,37,0,9424.303123
2024,600,13336,47,5,10134.11348
2018,600,15565,36,2,3463.748875
2024,635,10424,47,2,9639.466165
2019,951,28349,55,4,34977.30567
2019,1287,30254,26,4,6690.735849
2020,1287,30254,27,2,25984.08053
2021,1287,30254,28,0,23624.98342
2021,1287,30254,28,0,8786.623501
2021,1287,30254,28,0,9405.277132
2022,1287,30254,29,0,13481.01689
2023,1287,30254,30,0,1210.87502
2017,6000,90000,33,1,2183.138545
2019,6000,90000,35,1,14352.25821
2018,1199,29386,44,3,21771.91166
2019,1199,29386,45,1,21595.96589
2024,900,26335,57,1,17008.18663
2020,600,13785,22,2,13435.43184
2020,600,13785,22,2,4041.733845
2018,600,18515,48,2,6787.313662
2018,600,18515,48,2,8012.327558
2020,600,18515,50,1,14775.72762
2022,600,18515,52,1,12073.03053
2017,600,9075,36,2,10676.52826
2021,600,9075,40,3,9456.47502
2021,600,8800,23,2,7896.801469
2019,893,18728,47,1,26981.33518
2019,893,18728,47,1,13983.54868
2023,997,34834,60,2,2738.729916
2020,899,24301,40,4,3020.255858
2020,899,24301,40,4,9732.349887
2018,1899,51154,40,3,5716.173782
2022,1899,51154,44,4,5841.9449
2016,600,11900,20,0,14708.90011
2017,600,11900,21,0,1650.216206
2020,1534,41567,49,3,27642.59024
2024,600,18165,50,1,5111.222367
2022,1061,24330,59,1,19783.46047
2016,646,16721,23,1,15683.32126
2018,778,17955,34,4,8996.600895
2018,778,17955,34,4,698.8750931
2018,778,17955,34,4,18371.4284
2021,778,17955,37,4,3022.793828
2021,778,17955,37,4,12453.63212
2022,600,16684,37,4,12394.26686
2018,2265,56199,37,2,5206.532635
2021,600,9867,47,1,10719.32365
2019,2142,50742,33,3,10915.93216
2022,2142,50742,36,2,20834.402
2023,2142,50742,37,0,14459.82628
2023,2142,50742,37,0,9652.994174
2024,2142,50742,38,0,7228.494352
2024,2142,50742,38,0,34202.67132
2019,600,17093,56,4,17804.06904
2023,600,17093,60,5,3248.696292
2022,600,10455,41,5,14652.70469
2023,600,10455,42,3,8061.549835
2024,600,13084,41,1,2269.202063
2023,600,20945,55,2,2120.581506
2020,600,14061,45,1,15732.74287
2023,600,13090,60,4,1755.575173
2023,1408,31311,30,0,3478.226608
2021,980,25512,44,1,1154.058735
2023,980,25512,46,1,11980.912
2021,1106,24826,25,1,4193.197559
2019,600,9172,47,3,3667.195406
2024,600,9172,52,5,9149.759183
2023,600,12223,57,3,1951.806655
2024,600,12223,58,1,2886.803724
2017,600,14073,27,0,13750.43404
2019,600,14073,29,1,2763.099798
2020,600,14073,30,0,19685.6932
2022,600,14073,32,1,5020.790197
2023,600,12586,44,5,16465.54266
2023,600,12586,44,5,27166.51776
2019,1117,23208,47,1,11834.91624
2022,600,11520,52,3,20105.20592
2021,600,11613,52,5,15573.81225
2022,1142,31221,44,5,5513.867417
2019,808,23604,38,2,30124.2791
2019,808,23604,38,2,1161.178021
2023,600,12608,33,5,4594.033898
2024,600,15170,32,1,6603.073593
2023,1388,32491,75,2,16191.78097
2022,600,13917,43,5,49875.42019
2023,600,14375,46,5,18012.6158
2017,1428,32998,48,2,7529.71178
2024,600,8295,36,1,8759.878023
2018,1154,35039,26,2,26538.2587
2019,600,17024,22,3,12594.87168
2021,600,16564,55,5,4620.683775
2021,600,13684,57,3,40171.59527
2018,600,16517,24,0,30551.35849
2019,600,16517,25,0,32447.45956
2019,600,16517,25,0,8620.420715
2019,600,16517,25,0,12494.35057
2020,600,16517,26,0,12537.4656
2021,600,16517,27,0,12042.50401
2024,2942,69121,66,4,3382.585536
2024,2942,69121,66,4,6741.343687
2023,600,7737,25,5,10095.93146
2024,1350,30327,36,5,8110.95947
2024,1350,30327,36,5,21585.91992
2019,661,17866,42,1,3608.935085
2024,1513,40192,68,4,12734.33926
2021,600,13611,64,2,32094.7853
2023,600,13611,66,1,15645.23371
2021,600,14332,52,2,1432.228973
2023,600,12934,46,2,11914.09398
2023,1057,32755,69,3,8293.13205
2022,600,16876,52,2,3294.14491
2022,600,13605,46,2,13264.32506
2022,600,15368,59,5,40631.55475
2024,600,15368,61,4,3940.781487
2022,600,10817,30,3,5162.901069
2022,600,10817,30,3,1093.238335
2024,600,10817,32,2,5975.210849
2019,600,16239,45,2,21661.85893
2022,600,8471,35,5,3610.962049
2021,2082,49159,30,2,40104.95514
2021,2082,49159,30,2,13815.39428
2022,2082,49159,31,0,57156.80508
2023,2082,49159,32,0,6700.964617
2024,2082,49159,33,0,41776.09991
2024,847,21837,49,5,5232.573279
2022,600,14995,42,5,14239.67705
2022,600,13003,25,2,3265.992233
2017,600,18988,64,3,24527.50485
2023,609,27760,41,3,1985.627886
2021,600,11290,28,3,11491.53656
2024,600,11290,31,3,1788.204985
2022,1638,41744,45,1,12921.47291
2023,1638,41744,46,0,24885.76833
2023,1638,41744,46,0,19814.30439
2023,1638,41744,46,0,11767.72565
2016,910,22861,31,0,10209.98886
2021,600,12336,47,3,16717.36466
2021,600,12336,47,3,19606.04103
2023,600,14602,38,4,3431.969575
2020,600,10844,23,3,14696.20873
2021,600,10497,28,2,10584.34949
2023,600,10497,30,1,4939.44848
2023,600,10497,30,1,8019.917466
2020,600,14314,25,3,3668.538292
2022,600,14314,27,2,15421.25709
2022,994,30129,46,1,3181.791467
2017,600,15787,45,2,2634.631697
2019,600,15787,47,0,5088.771328
2020,1606,34071,35,2,51410.41209
2020,1606,34071,35,2,10877.251
2022,1606,34071,37,1,8162.859257
2021,600,12452,32,5,12560.39915
2021,600,12452,32,5,6842.940488
2023,600,12452,34,4,2331.276096
2021,1099,33394,43,2,1271.098975
2021,1099,33394,43,2,2213.345084
2021,1099,33394,43,2,5361.513199
2024,1099,33394,46,2,12548.52095
2023,600,14085,57,1,6549.71504
2024,600,14085,58,0,32846.08433
2019,839,14269,39,2,15804.68262
2024,1230,31077,39,1,4772.677567
2019,600,8134,43,1,18170.13918
2019,600,8134,43,1,14890.18971
2022,600,8134,46,2,3041.318627
2021,600,13883,35,3,8457.639405
2023,600,10953,48,5,17154.27158
2022,600,10048,25,2,16711.81743
2022,600,10048,25,2,6124.145185
2023,1522,35099,40,3,14060.32277
2022,800,16786,44,3,2580.771928
2024,800,16786,46,2,18902.87346
2017,817,26524,47,2,12187.24067
2017,817,26524,47,2,13280.26433
2023,1470,38925,31,5,17380.64531
2020,600,9354,72,5,6443.683346
2021,600,19876,45,4,1453.55363
2023,600,9651,55,2,3727.979014
2023,600,10820,40,1,8796.684485
2023,832,30561,26,1,42688.56704
2024,610,16504,54,2,2720.915878
2024,600,13140,45,2,4322.872953
2018,1003,32588,40,1,14125.78932
2020,600,11772,24,0,4682.885151
2020,600,11772,24,0,11786.93771
2020,600,11772,24,0,3828.80816
2022,600,11772,26,0,11920.09738
2020,1859,48734,45,2,23387.53834
2020,1859,48734,45,2,3875.747352
2020,1859,48734,45,2,1135.558867
2022,1859,48734,47,1,9976.547161
2023,600,12078,35,1,2853.595618
2018,600,10745,28,2,30652.88871
2023,600,10745,33,2,35432.6242
2021,653,16090,53,3,8256.550231
2023,612,11840,59,5,7517.387001
2016,600,13240,31,0,9164.693315
2023,600,13240,38,5,15140.71805
2022,600,14688,41,2,21293.51602
2017,600,11866,48,2,12257.01804
2023,600,10908,35,4,18549.74054
2021,2165,47809,29,2,4201.483841
2022,2165,47809,30,0,11173.39588
2021,868,20308,61,3,26829.04344
2021,892,27729,51,5,13697.9446
2019,600,13482,25,1,4133.911098
2019,600,13482,25,1,35691.34689
2019,600,13482,25,1,14791.34124
2022,600,13482,28,2,9448.405608
2022,600,13482,28,2,13438.2787
2024,1132,34017,62,5,73635.40019
2021,600,14874,36,3,4512.056501
2021,600,14874,36,3,15234.40786
2020,1567,33442,58,0,1997.375468
2020,690,14989,36,0,5036.606783
2022,600,15145,51,2,12679.25188
2023,600,13536,49,2,13615.13535
2024,600,13536,50,0,3494.243301
2020,2515,57002,55,4,1743.265934
2023,982,31762,27,1,6419.208242
2021,676,24186,31,1,4309.301281
2021,676,24186,31,1,2847.989448
2017,1755,40177,45,2,6263.410546
2020,1755,40177,48,2,3377.520618
2021,1755,40177,49,0,33109.35055
2016,600,16077,46,1,3345.833303
2019,600,15132,47,2,2820.727571
2022,1132,34014,46,3,41281.20933
2020,1605,36550,40,4,1507.546108
2024,1246,34192,52,3,17266.61405
2023,600,16647,58,5,6942.302834
2024,600,16647,59,3,11345.62603
2024,600,10857,42,4,1674.413793
2017,600,13203,27,3,1828.74164
2024,2173,51118,49,4,20855.49558
2022,600,9014,25,1,3613.555387
2019,600,15489,23,2,11177.21196
2019,600,15489,23,2,3282.839159
2019,600,15489,23,2,23892.60994
2019,600,15489,23,2,15013.45739
2020,600,15489,24,0,11750.08526
2017,769,19919,27,3,8378.185373
2017,769,19919,27,3,10854.90915
2019,769,19919,29,2,13396.3998
2017,600,10378,57,3,4527.182287
2019,600,8763,44,2,31675.67903
2023,600,9630,56,3,4432.81913
2024,1331,41459,34,3,3532.042329
2022,600,15185,65,3,13710.18464
2023,600,15185,66,1,12422.54863
2024,600,15185,67,0,11682.82092
2018,2268,53846,36,0,5496.245295
2021,2268,53846,39,2,9550.509245
2017,600,6725,26,0,41008.96131
2017,600,6725,26,0,4798.330207
2017,600,6725,26,0,9075.80925
2018,600,6725,27,0,10327.0037
2020,600,6725,29,1,21726.67363
2021,600,6725,30,0,19472.84074
2022,1268,28207,31,1,8450.753454
2024,1925,49704,43,1,29682.37081
2017,1382,29553,37,1,16405.54803
2021,770,19009,62,1,24836.35134
2024,1546,34494,57,4,17949.95602
2024,1546,34494,57,4,16977.14782
2020,911,18022,35,2,17581.61197
2023,600,11342,42,3,9402.28601
2018,1645,38924,50,2,14166.73199
2018,1645,38924,50,2,1187.235989
2024,1645,38924,56,5,10197.64097
2024,995,32420,86,3,6166.058425
2023,3148,77410,24,4,5656.338164
2023,3148,77410,24,4,27110.64995
2019,1735,47306,48,4,10700.10209
2022,1735,47306,51,4,4338.254867
2023,1735,47306,52,2,9853.103876
2024,639,12217,49,2,6693.538944
2023,803,12308,51,5,14604.22382
2017,1222,33314,50,1,3157.765948
2023,2453,63437,56,2,31143.22755
2024,2453,63437,57,0,21212.3072
2024,2453,63437,57,0,13739.34715
2023,600,13306,49,2,6588.963938
2017,600,6962,32,1,25376.21538
2018,600,6962,33,0,4921.643079
2019,600,6962,34,0,4985.15428
2019,1242,30508,40,0,28645.2913
2022,1943,46277,36,3,10434.13787
2024,1943,46277,38,2,19767.60003
2023,600,14491,28,5,3570.630535
2019,600,20802,34,3,12957.16813
2020,600,20802,35,1,4177.904549
2021,1061,33019,28,2,10817.30337
2022,1061,33019,29,0,11213.72703
2024,1061,33019,31,1,38164.65643
2024,1061,33019,31,1,41132.84373
2024,1061,33019,31,1,14955.6114
2017,600,10289,48,3,4906.678178
2024,600,10289,55,1,708.7318723
2022,600,14009,36,2,1043.0382
2024,600,14009,38,1,9716.83086
2024,1549,31080,43,5,4335.375099
2024,1349,34652,55,2,21374.84872
2023,1336,35900,54,1,11644.1573
2022,2300,50290,30,0,9943.537471
2023,2300,50290,31,0,18087.13684
2023,2300,50290,31,0,11805.55049
2023,2300,50290,31,0,31194.35352
2023,877,24634,48,4,19405.76254
2017,1343,38346,42,1,8619.511327
2018,1343,38346,43,0,13424.6282
